"","found_taxa","common_name","rank"
"1","Cymatogaster aggregata","Shiner perch","species"
"2","Leptocottus armatus","Pacific staghorn sculpin","species"
"3","Atherinopsis californiensis","Jack silverside","species"
"4","Syngnathus californiensis","Bay pipefish","species"
"5","Clevelandia ios","Arrow goby","species"
"6","Clupea pallasii","Pacific herring","species"
"7","Acanthogobius flavimanus","Yellowfin goby","species"
"8","Gasterosteus aculeatus","Three-spined stickleback","species"
"9","Gillichthys mirabilis","Longjaw mudsucker","species"
"10","Salmo salar","Atlantic salmon","species"
"11","Morone saxatilis","Striped bass invasive","species"
"12","Lavinia exilicauda","Hitch","species"
"13","Ammodytes personatus","Pacific sandlance","species"
"14","Engraulis mordax","Californian anchovy","species"
"15","Oncorhynchus tshawytscha","Chinook salmon","species"
"16","Embiotoca jacksoni","Black perch","species"
"17","Citharichthys stigmaeus","Speckled sanddab","species"
"18","Lepidogobius lepidus","Bay goby","species"
"19","Cebidichthys violaceus","Monkeyface prickleback","species"
"20","Pholis ornata","Saddleback gunnel","species"
"21","Pholis laeta","Crescent gunnel","species"
"22","Hexagrammos decagrammus","Kelp greenling","species"
"23","Anoplopoma fimbria","Sablefish","species"
"24","Ophiodon elongatus","Lingcod","species"
"25","Oligocottus snyderi","Fluffy sculpin","species"
"26","Oncorhynchus gorbuscha","Pink salmon","species"
"27","Hemilepidotus hemilepidotus","Red Irish lord","species"
"28","Enophrys bison","Buffalo sculpin","species"
"29","Scorpaenichthys marmoratus","Cabezon","species"
"30","Merluccius productus","North Pacific hake","species"
"31","Artedius harringtoni","Scalyhead sculpin","species"
"32","Oncorhynchus kisutch","Coho salmon","species"
"33","Aulorhynchus flavidus","Tube-snout","species"
"34","Clinocottus acuticeps","Sharpnose sculpin","species"
"35","Auxis rochei","Bullet tuna","species"
"36","Apodichthys flavidus","Penpoint gunnel","species"
"37","Sardinops sagax","South American pilchard","species"
"38","Embiotoca lateralis","Striped seaperch","species"
"39","Allosmerus elongatus","Whitebait smelt","species"
"40","Lumpenus sagitta","Snake prickleback","species"
"41","Artedius lateralis","Smoothhead sculpin","species"
"42","Sebastes entomelas","Widow rockfish","species"
"43","Pleuronichthys coenosus","C-O sole","species"
"44","Artedius fenestralis","Padded sculpin","species"
"45","Ronquilus jordani","Northern ronquil","species"
"46","Phanerodon vacca","Pile perch","species"
"47","Rhinogobiops nicholsii","Blackeye goby","species"
"48","Oncorhynchus keta","Chum salmon","species"
"49","Thunnus alalunga","Albacore","species"
"50","Blepsias cirrhosus","Silverspotted sculpin","species"
"51","Ascelichthys rhodorus","Rosylip sculpin","species"
"52","Oncorhynchus clarkii","Cutthroat trout","species"
"53","Paralabrax maculatofasciatus","Spotted sand bass","species"
"54","Alosa sapidissima","American shad","species"
"55","Notorynchus cepedianus","Broadnose sevengill shark","species"
"56","Cryptacanthodes giganteus","Giant wrymouth","species"
"57","Quietula y-cauda","American shadow goby","species"
"58","Anisotremus davidsonii","Xantic sargo","species"
"59","Brachygenys californiensis","Californian salema","species"
"60","Mugil cephalus","Flathead grey mullet","species"
"61","Hypsoblennius gentilis","Bay blenny","species"
"62","Paralabrax clathratus","Kelp bass","species"
"63","Paralabrax nebulifer","Barred sand bass","species"
"64","Anchoa delicatissima","Slough anchovy","species"
"65","Cynoscion parvipinnis","Shortfin weakfish","species"
"66","Seriola lalandi","Yellowtail amberjack","species"
"67","Heterostichus rostratus","Giant kelpfish","species"
"68","Micrometrus minimus","Dwarf perch","species"
"69","Girella nigricans","Rudderfish","species"
"70","Paralichthys californicus","California flounder","species"
"71","Menticirrhus undulatus","California kingcroaker","species"
"72","Fundulus parvipinnis","California killifish","species"
"73","Pleuronichthys guttulatus","Diamond turbot","species"
"74","Anchoa compressa","Deep body anchovy","species"
"75","Leuresthes tenuis","California grunion","species"
"76","Gadus chalcogrammus","Alaska pollock","species"
"77","Hippoglossus stenolepis","Pacific halibut","species"
"78","Atractoscion nobilis","White seabass","species"
"79","Roncador stearnsii","Spotfin croaker","species"
"80","Umbrina roncador","Yellowfin drum","species"
"81","Sebastes nebulosus","China rockfish","species"
"82","Jordania zonope","Longfin sculpin","species"
"83","Nautichthys oculofasciatus","Sailfin sculpin","species"
"84","Gobiesox maeandricus","Northern clingfish","species"
"85","Liparis florae","Tidepool snailfish","species"
"86","Rimicola muscarum","Kelp clingfish","species"
"87","Phytichthys chirus","Ribbon prickleback","species"
"88","Sebastes paucispinis","Bocaccio rockfish","species"
"89","Myoxocephalus stelleri","Steller's sculpin","species"
"90","Brachyistius frenatus","Kelp perch","species"
"91","Psychrolutes paradoxus","Tadpole sculpin","species"
"92","Liparis greeni","Lobefin snailfish","species"
"93","Microgadus proximus","Pacific tomcod","species"
"94","Gibbonsia montereyensis","Crevice kelpfish","species"
"95","Oxylebius pictus","Painted greenling","species"
"96","Oncorhynchus nerka","Sockeye salmon","species"
"97","Citharichthys sordidus","Pacific sanddab","species"
"98","Leuroglossus schmidti","Northern smoothtongue","species"
"99","Squalius cephalus","European chub no records","species"
"100","Sebastes gilli","Bronzespotted rockfish","species"
"101","Anarrhichthys ocellatus","Wolf eel","species"
"102","Liparis cyclopus","Ribbon snailfish","species"
"103","Mallotus villosus","Capelin","species"
"104","Thaleichthys pacificus","Eulachon","species"
"105","Cryptacanthodes aleutensis","Dwarf wrymouth","species"
"106","Spirinchus thaleichthys","Longfin smelt","species"
"107","Cosmocampus arctus","Snubnose pipefish","species"
"108","Peprilus simillimus","Pacific pompano","species"
"109","Syngnathus auliscus","Barred pipefish","species"
"110","Hydrolagus colliei","Spotted ratfish","species"
"111","Trachurus symmetricus","Pacific jack mackerel","species"
"112","Strongylura exilis","Californian needlefish","species"
"113","Hypsoblennius jenkinsi","Mussel blenny","species"
"114","Tautogolabrus adspersus","Cunner no records","species"
"115","Synchirus gilli","Manacled sculpin","species"
"116","Pleuronichthys decurrens","Curlfin sole","species"
"117","Seriphus politus","Queenfish","species"
"118","Kyphosus azureus","Zebra-perch sea chub","species"
"119","Lycodes brevipes","Shortfin eelpout","species"
"120","Gambusia affinis","Mosquitofish invasive","species"
"121","Myliobatis californica","Bat ray","species"
"122","Typhlogobius californiensis","Blind goby","species"
"123","Scomber japonicus","Chub mackerel","species"
"124","Liparis mucosus","Slimy snailfish","species"
"125","Tridentiger trigonocephalus","Chameleon goby invasive","species"
"126","Cololabis saira","Pacific saury","species"
"127","Spirinchus starksi","Night smelt","species"
"128","Artedius notospilotus","Bonehead sculpin","species"
"129","Orthonopias triacis","Snubnose sculpin","species"
"130","Clinocottus globiceps","Mosshead sculpin","species"
"131","Clinocottus embryum","Calico sculpin","species"
"132","Pleuronichthys ritteri","Spotted turbot","species"
"133","Cheilotrema saturnum","Black croaker","species"
"134","Paraclinus integripinnis","Reef finspot","species"
"135","Hypsoblennius gilberti","Rockpool blenny","species"
"136","Sphyraena argentea","Pacific barracuda","species"
"137","Genyonemus lineatus","White croaker","species"
"138","Rhinichthys cataractae","Longnose dace","species"
"139","Agonopsis vulsa","Northern spearnose poacher","species"
"140","Chitonotus pugetensis","Roughback sculpin","species"
"141","Clinocottus analis","Wooly sculpin","species"
"142","Bodianus pulcher","California sheephead","species"
"143","Gobiesox rhessodon","California clingfish","species"
