"","verbatim_name","accepted_name","species","taxon_rank","taxonomic_status","class","order","family","genus","taxon_id","is_marine","is_brackish","is_freshwater","ncbi_id"
"253","Myoxocephalus scorpius","Myoxocephalus scorpius","Myoxocephalus scorpius","species","accepted","Teleostei","Perciformes","Cottidae","Myoxocephalus",127203,TRUE,TRUE,FALSE,8097
"254","Stichaeus punctatus","Stichaeus punctatus","Stichaeus punctatus","species","accepted","Teleostei","Perciformes","Stichaeidae","Stichaeus",159819,TRUE,FALSE,FALSE,980344
"255","Oxylebius pictus","Oxylebius pictus","Oxylebius pictus","species","accepted","Teleostei","Perciformes","Hexagrammidae","Oxylebius",240743,TRUE,FALSE,FALSE,283620
"256","Nemichthys larseni","Nemichthys larseni","Nemichthys larseni","species","accepted","Teleostei","Anguilliformes","Nemichthyidae","Nemichthys",271905,TRUE,FALSE,FALSE,557354
"257","Pholis schultzi","Pholis schultzi","Pholis schultzi","species","accepted","Teleostei","Perciformes","Pholidae","Pholis",273693,TRUE,FALSE,FALSE,NA
"258","Careproctus spectrum","Careproctus spectrum","Careproctus spectrum","species","accepted","Teleostei","Perciformes","Liparidae","Careproctus",274477,TRUE,FALSE,FALSE,NA
"259","Liparis rutteri","Liparis rutteri","Liparis rutteri","species","accepted","Teleostei","Perciformes","Liparidae","Liparis",274538,TRUE,FALSE,FALSE,572250
"260","Synchirus gilli","Synchirus gilli","Synchirus gilli","species","accepted","Teleostei","Perciformes","Cottidae","Synchirus",282921,TRUE,FALSE,FALSE,740936
"261","Leuroglossus stilbius","Leuroglossus stilbius","Leuroglossus stilbius","species","accepted","Teleostei","Argentiniformes","Bathylagidae","Leuroglossus",313514,TRUE,FALSE,FALSE,301819
"262","Hypsagonus quadricornis","Hypsagonus quadricornis","Hypsagonus quadricornis","species","accepted","Teleostei","Perciformes","Agonidae","Hypsagonus",254508,TRUE,FALSE,FALSE,274775
"263","Hexagrammos octogrammus","Hexagrammos octogrammus","Hexagrammos octogrammus","species","accepted","Teleostei","Perciformes","Hexagrammidae","Hexagrammos",254544,TRUE,FALSE,FALSE,192375
"264","Careproctus furcellus","Careproctus furcellus","Careproctus furcellus","species","accepted","Teleostei","Perciformes","Liparidae","Careproctus",254548,TRUE,FALSE,FALSE,557342
"265","Bothragonus swanii","Bothragonus swanii","Bothragonus swanii","species","accepted","Teleostei","Perciformes","Agonidae","Bothragonus",279947,TRUE,FALSE,FALSE,1154617
"266","Notacanthus chemnitzii","Notacanthus chemnitzii","Notacanthus chemnitzii","species","accepted","Teleostei","Notacanthiformes","Notacanthidae","Notacanthus",126643,TRUE,FALSE,FALSE,143895
"267","Mola mola","Mola mola","Mola mola","species","accepted","Teleostei","Tetraodontiformes","Molidae","Mola",127405,TRUE,FALSE,FALSE,94237
"268","Engraulis mordax","Engraulis mordax","Engraulis mordax","species","accepted","Teleostei","Clupeiformes","Engraulidae","Engraulis",272286,TRUE,FALSE,FALSE,239368
"269","Pholis clemensi","Pholis clemensi","Pholis clemensi","species","accepted","Teleostei","Perciformes","Pholidae","Pholis",273686,TRUE,FALSE,FALSE,740703
"270","Lethenteron camtschaticum","Lethenteron camtschaticum","Lethenteron camtschaticum","species","accepted","Petromyzonti","Petromyzontiformes","Petromyzontidae","Lethenteron",101173,TRUE,TRUE,TRUE,980415
"271","Hexanchus griseus","Hexanchus griseus","Hexanchus griseus","species","accepted","Elasmobranchii","Hexanchiformes","Hexanchidae","Hexanchus",105833,TRUE,FALSE,FALSE,94987
"272","Liparis gibbus","Liparis gibbus","Liparis gibbus","species","accepted","Teleostei","Perciformes","Liparidae","Liparis",159526,TRUE,FALSE,FALSE,255718
"273","Triglops scepticus","Triglops scepticus","Triglops scepticus","species","accepted","Teleostei","Perciformes","Cottidae","Triglops",254531,TRUE,FALSE,FALSE,274770
"274","Lipariscus nanus","Lipariscus nanus","Lipariscus nanus","species","accepted","Teleostei","Perciformes","Liparidae","Lipariscus",281365,TRUE,FALSE,FALSE,557405
"275","Lumpenopsis hypochroma","Lumpenopsis hypochroma","Lumpenopsis hypochroma","species","accepted","Teleostei","Perciformes","Stichaeidae","Lumpenopsis",281437,TRUE,FALSE,FALSE,NA
"276","Radulinus boleoides","Radulinus boleoides","Radulinus boleoides","species","accepted","Teleostei","Perciformes","Cottidae","Radulinus",282542,TRUE,FALSE,FALSE,980343
"277","Jordania zonope","Jordania zonope","Jordania zonope","species","accepted","Teleostei","Perciformes","Jordaniidae","Jordania",398459,TRUE,FALSE,FALSE,274764
"278","Amblyraja hyperborea","Amblyraja hyperborea","Amblyraja hyperborea","species","accepted","Elasmobranchii","Rajiformes","Rajidae","Amblyraja",105863,TRUE,FALSE,FALSE,315322
"279","Cyclothone acclinidens","Cyclothone acclinidens","Cyclothone acclinidens","species","accepted","Teleostei","Stomiiformes","Gonostomatidae","Cyclothone",127282,TRUE,FALSE,FALSE,48441
"280","Rhadinesthes decimus","Rhadinesthes decimus","Rhadinesthes decimus","species","accepted","Teleostei","Stomiiformes","Stomiidae","Rhadinesthes",127373,TRUE,FALSE,FALSE,882883
"281","Osmerus dentex","Osmerus dentex","Osmerus dentex","species","accepted","Teleostei","Osmeriformes","Osmeridae","Osmerus",254557,TRUE,TRUE,TRUE,476919
"282","Liparis greeni","Liparis greeni","Liparis greeni","species","accepted","Teleostei","Perciformes","Liparidae","Liparis",274517,TRUE,FALSE,FALSE,1562383
"283","Sebastes chlorostictus","Sebastes chlorostictus","Sebastes chlorostictus","species","accepted","Teleostei","Perciformes","Sebastidae","Sebastes",274781,TRUE,FALSE,FALSE,72064
"284","Anoplarchus insignis","Anoplarchus insignis","Anoplarchus insignis","species","accepted","Teleostei","Perciformes","Stichaeidae","Anoplarchus",279632,TRUE,FALSE,FALSE,1225888
"285","Lepidogobius lepidus","Lepidogobius lepidus","Lepidogobius lepidus","species","accepted","Teleostei","Gobiiformes","Gobiidae","Lepidogobius",281292,TRUE,FALSE,FALSE,185746
"286","Oligocottus rimensis","Oligocottus rimensis","Oligocottus rimensis","species","accepted","Teleostei","Perciformes","Cottidae","Oligocottus",281873,TRUE,FALSE,FALSE,459050
"287","Pleurogrammus monopterygius","Pleurogrammus monopterygius","Pleurogrammus monopterygius","species","accepted","Teleostei","Perciformes","Hexagrammidae","Pleurogrammus",282289,TRUE,FALSE,FALSE,192379
"288","Rhinoliparis barbulifer","Rhinoliparis barbulifer","Rhinoliparis barbulifer","species","accepted","Teleostei","Perciformes","Liparidae","Rhinoliparis",282585,TRUE,FALSE,FALSE,446837
"289","Spirinchus starksi","Spirinchus starksi","Spirinchus starksi","species","accepted","Teleostei","Osmeriformes","Osmeridae","Spirinchus",282843,TRUE,FALSE,FALSE,443727
"290","Magnisudis atlantica","Magnisudis atlantica","Magnisudis atlantica","species","accepted","Teleostei","Aulopiformes","Paralepididae","Magnisudis",126359,TRUE,FALSE,FALSE,319769
"291","Osmerus mordax","Osmerus mordax","Osmerus mordax","species","accepted","Teleostei","Osmeriformes","Osmeridae","Osmerus",126737,TRUE,TRUE,TRUE,8014
"292","Coregonus autumnalis","Coregonus autumnalis","Coregonus autumnalis","species","accepted","Teleostei","Salmoniformes","Salmonidae","Coregonus",127179,TRUE,TRUE,TRUE,27773
"293","Salvelinus alpinus","Salvelinus alpinus","Salvelinus alpinus","species","accepted","Teleostei","Salmoniformes","Salmonidae","Salvelinus",127188,TRUE,TRUE,TRUE,8036
"294","Argyropelecus sladeni","Argyropelecus sladeni","Argyropelecus sladeni","species","accepted","Teleostei","Stomiiformes","Sternoptychidae","Argyropelecus",158837,TRUE,FALSE,FALSE,81870
"295","Phanerodon furcatus","Phanerodon furcatus","Phanerodon furcatus","species","accepted","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Phanerodon",240730,TRUE,FALSE,FALSE,100200
"296","Hexagrammos lagocephalus","Hexagrammos lagocephalus","Hexagrammos lagocephalus","species","accepted","Teleostei","Perciformes","Hexagrammidae","Hexagrammos",240735,TRUE,FALSE,FALSE,192377
"297","Stellerina xyosterna","Stellerina xyosterna","Stellerina xyosterna","species","accepted","Teleostei","Perciformes","Agonidae","Stellerina",254366,TRUE,FALSE,FALSE,283639
"298","Bathyraja violacea","Bathyraja violacea","Bathyraja violacea","species","accepted","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja",271540,TRUE,FALSE,FALSE,392425
"299","Trachipterus altivelis","Trachipterus altivelis","Trachipterus altivelis","species","accepted","Teleostei","Lampriformes","Trachipteridae","Trachipterus",272531,TRUE,FALSE,FALSE,320416
"300","Oneirodes acanthias","Oneirodes acanthias","Oneirodes acanthias","species","accepted","Teleostei","Lophiiformes","Oneirodidae","Oneirodes",272620,TRUE,FALSE,FALSE,242955
"301","Bassozetus zenkevitchi","Bassozetus zenkevitchi","Bassozetus zenkevitchi","species","accepted","Teleostei","Ophidiiformes","Ophidiidae","Bassozetus",272795,TRUE,FALSE,FALSE,181397
"302","Pholis ornata","Pholis ornata","Pholis ornata","species","accepted","Teleostei","Perciformes","Pholidae","Pholis",273692,TRUE,FALSE,FALSE,283028
"303","Chirolophis tarsodes","Chirolophis tarsodes","Chirolophis tarsodes","species","accepted","Teleostei","Perciformes","Stichaeidae","Chirolophis",273991,TRUE,FALSE,FALSE,NA
"304","Sebastes polyspinis","Sebastes polyspinis","Sebastes polyspinis","species","accepted","Teleostei","Perciformes","Sebastidae","Sebastes",274837,TRUE,FALSE,FALSE,394702
"305","Sarda lineolata","Sarda lineolata","Sarda lineolata","species","accepted","Teleostei","Scombriformes","Scombridae","Sarda",304449,TRUE,FALSE,FALSE,NA
"306","Pentaceros wheeleri","Pentaceros wheeleri","Pentaceros wheeleri","species","accepted","Teleostei","Acropomatiformes","Pentacerotidae","Pentaceros",313241,TRUE,FALSE,FALSE,257887
"307","Bathylagoides wesethi","Bathylagoides wesethi","Bathylagoides wesethi","species","accepted","Teleostei","Argentiniformes","Bathylagidae","Bathylagoides",712444,TRUE,FALSE,FALSE,875769
"308","Protomyctophum crockeri","Protomyctophum crockeri","Protomyctophum crockeri","species","accepted","Teleostei","Myctophiformes","Myctophidae","Protomyctophum",272731,TRUE,FALSE,FALSE,91656
"309","Coryphaena hippurus","Coryphaena hippurus","Coryphaena hippurus","species","accepted","Teleostei","Carangiformes","Coryphaenidae","Coryphaena",126846,TRUE,TRUE,FALSE,34814
"310","Morone saxatilis","Morone saxatilis","Morone saxatilis","species","accepted","Teleostei","Eupercaria incertae sedis","Moronidae","Morone",151179,TRUE,TRUE,TRUE,34816
"311","Tetragonurus cuvieri","Tetragonurus cuvieri","Tetragonurus cuvieri","species","accepted","Teleostei","Scombriformes","Tetragonuridae","Tetragonurus",127080,TRUE,FALSE,FALSE,316150
"312","Bathyraja kincaidii","Bathyraja kincaidii","Bathyraja kincaidii","species","accepted","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja",298828,TRUE,FALSE,FALSE,1154593
"313","Anoplogaster cornuta","Anoplogaster cornuta","Anoplogaster cornuta","species","accepted","Teleostei","Trachichthyiformes","Anoplogastridae","Anoplogaster",126393,TRUE,FALSE,FALSE,88656
"314","Lampadena urophaos","Lampadena urophaos","Lampadena urophaos","species","accepted","Teleostei","Myctophiformes","Myctophidae","Lampadena",126609,TRUE,FALSE,FALSE,319455
"315","Salmo trutta","Salmo trutta","Salmo trutta","species","accepted","Teleostei","Salmoniformes","Salmonidae","Salmo",127187,TRUE,TRUE,TRUE,8032
"316","Apodichthys fucorum","Apodichthys fucorum","Apodichthys fucorum","species","accepted","Teleostei","Perciformes","Pholidae","Apodichthys",279665,TRUE,FALSE,FALSE,57780
"317","Chilara taylori","Chilara taylori","Chilara taylori","species","accepted","Teleostei","Ophidiiformes","Ophidiidae","Chilara",280146,TRUE,TRUE,FALSE,274688
"318","Idiacanthus antrostomus","Idiacanthus antrostomus","Idiacanthus antrostomus","species","accepted","Teleostei","Stomiiformes","Stomiidae","Idiacanthus",275151,TRUE,FALSE,FALSE,314241
"319","Danaphos oculatus","Danaphos oculatus","Danaphos oculatus","species","accepted","Teleostei","Stomiiformes","Sternoptychidae","Danaphos",280483,TRUE,FALSE,FALSE,875787
"320","Peprilus simillimus","Peprilus simillimus","Peprilus simillimus","species","accepted","Teleostei","Scombriformes","Stromateidae","Peprilus",276563,TRUE,FALSE,FALSE,320412
"321","Clevelandia ios","Clevelandia ios","Clevelandia ios","species","accepted","Teleostei","Gobiiformes","Gobiidae","Clevelandia",280215,TRUE,TRUE,FALSE,185732
"322","Aphanopus arigato","Aphanopus arigato","Aphanopus arigato","species","accepted","Teleostei","Scombriformes","Trichiuridae","Aphanopus",274008,TRUE,FALSE,FALSE,1154592
"323","Argyropelecus lychnus","Argyropelecus lychnus","Argyropelecus lychnus","species","accepted","Teleostei","Stomiiformes","Sternoptychidae","Argyropelecus",158836,TRUE,FALSE,FALSE,875771
"324","Liparis adiastolus","Liparis adiastolus","Liparis adiastolus","species","accepted","Teleostei","Perciformes","Liparidae","Liparis",274498,TRUE,FALSE,FALSE,NA
"325","Opostomias mitsuii","Opostomias mitsuii","Opostomias mitsuii","species","accepted","Teleostei","Stomiiformes","Stomiidae","Opostomias",281926,TRUE,FALSE,FALSE,1604631
"326","Sebastes chrysomelas","Sebastes chrysomelas","Sebastes chrysomelas","species","accepted","Teleostei","Perciformes","Sebastidae","Sebastes",240737,TRUE,FALSE,FALSE,394688
"327","Cebidichthys violaceus","Cebidichthys violaceus","Cebidichthys violaceus","species","accepted","Teleostei","Perciformes","Cebidichthyidae","Cebidichthys",280053,TRUE,FALSE,FALSE,271503
"328","Plectobranchus evides","Plectobranchus evides","Plectobranchus evides","species","accepted","Teleostei","Perciformes","Stichaeidae","Plectobranchus",282283,TRUE,FALSE,FALSE,57849
"329","Sebastes rastrelliger","Sebastes rastrelliger","Sebastes rastrelliger","species","accepted","Teleostei","Perciformes","Sebastidae","Sebastes",274839,TRUE,FALSE,FALSE,72095
"330","Beringraja inornata","Beringraja inornata","Beringraja inornata","species","accepted","Elasmobranchii","Rajiformes","Rajidae","Beringraja",1461134,TRUE,FALSE,FALSE,2838339
"331","Sebastes carnatus","Sebastes carnatus","Sebastes carnatus","species","accepted","Teleostei","Perciformes","Sebastidae","Sebastes",274779,TRUE,FALSE,FALSE,72062
"332","Lyconema barbatum","Lyconema barbatum","Lyconema barbatum","species","accepted","Teleostei","Perciformes","Zoarcidae","Lyconema",281449,TRUE,FALSE,FALSE,320593
"333","Alepisaurus ferox","Alepisaurus ferox","Alepisaurus ferox","species","accepted","Teleostei","Aulopiformes","Alepisauridae","Alepisaurus",126333,TRUE,FALSE,FALSE,88653
"334","Ceratoscopelus townsendi","Ceratoscopelus townsendi","Ceratoscopelus townsendi","species","accepted","Teleostei","Myctophiformes","Myctophidae","Ceratoscopelus",272656,TRUE,FALSE,FALSE,875772
"335","Argentina sialis","Argentina sialis","Argentina sialis","species","accepted","Teleostei","Argentiniformes","Argentinidae","Argentina",272897,TRUE,TRUE,FALSE,260512
"336","Benthodesmus pacificus","Benthodesmus pacificus","Benthodesmus pacificus","species","accepted","Teleostei","Scombriformes","Trichiuridae","Benthodesmus",274013,TRUE,FALSE,FALSE,1738883
"337","Brosmophycis marginata","Brosmophycis marginata","Brosmophycis marginata","species","accepted","Teleostei","Ophidiiformes","Bythitidae","Brosmophycis",280000,TRUE,FALSE,FALSE,334377
"338","Hyperprosopon ellipticum","Hyperprosopon ellipticum","Hyperprosopon ellipticum","species","accepted","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Hyperprosopon",281099,TRUE,FALSE,FALSE,1045556
"339","Salvelinus fontinalis","Salvelinus fontinalis","Salvelinus fontinalis","species","accepted","Teleostei","Salmoniformes","Salmonidae","Salvelinus",154241,TRUE,TRUE,TRUE,8038
"340","Physiculus rastrelliger","Physiculus rastrelliger","Physiculus rastrelliger","species","accepted","Teleostei","Gadiformes","Moridae","Physiculus",272510,TRUE,FALSE,FALSE,740704
"341","Poromitra curilensis","Poromitra curilensis","Poromitra curilensis","species","accepted","Teleostei","Beryciformes","Melamphaidae","Poromitra",474945,TRUE,FALSE,FALSE,1828457
"342","Thunnus alalunga","Thunnus alalunga","Thunnus alalunga","species","accepted","Teleostei","Scombriformes","Scombridae","Thunnus",127026,TRUE,FALSE,FALSE,NA
"343","Barbourisia rufa","Barbourisia rufa","Barbourisia rufa","species","accepted","Teleostei","Beryciformes","Barbourisiidae","Barbourisia",159425,TRUE,FALSE,FALSE,88660
"344","Paralichthys californicus","Paralichthys californicus","Paralichthys californicus","species","accepted","Teleostei","Pleuronectiformes","Paralichthyidae","Paralichthys",275809,TRUE,TRUE,FALSE,319776
"345","Clidoderma asperrimum","Clidoderma asperrimum","Clidoderma asperrimum","species","accepted","Teleostei","Pleuronectiformes","Pleuronectidae","Clidoderma",280216,TRUE,FALSE,FALSE,255560
"346","Zaniolepis frenata","Zaniolepis frenata","Zaniolepis frenata","species","accepted","Teleostei","Perciformes","Zaniolepididae","Zaniolepis",283208,TRUE,FALSE,FALSE,274743
"347","Sigmops gracilis","Sigmops gracilis","Sigmops gracilis","species","accepted","Teleostei","Stomiiformes","Gonostomatidae","Sigmops",279336,TRUE,FALSE,FALSE,48457
"348","Amphistichus rhodoterus","Amphistichus rhodoterus","Amphistichus rhodoterus","species","accepted","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Amphistichus",279596,TRUE,TRUE,FALSE,72546
"349","Taractes asper","Taractes asper","Taractes asper","species","accepted","Teleostei","Scombriformes","Bramidae","Taractes",126786,TRUE,FALSE,FALSE,302046
"350","Cyclothone signata","Cyclothone signata","Cyclothone signata","species","accepted","Teleostei","Stomiiformes","Gonostomatidae","Cyclothone",154831,TRUE,FALSE,FALSE,48453
"351","Lycodapus parviceps","Lycodapus parviceps","Lycodapus parviceps","species","accepted","Teleostei","Perciformes","Zoarcidae","Lycodapus",279393,TRUE,FALSE,FALSE,1772030
"352","Tetronarce californica","Tetronarce californica","Tetronarce californica","species","accepted","Elasmobranchii","Torpediniformes","Torpedinidae","Tetronarce",845703,TRUE,FALSE,FALSE,7787
"353","Gibbonsia montereyensis","Gibbonsia montereyensis","Gibbonsia montereyensis","species","accepted","Teleostei","Blenniiformes","Clinidae","Gibbonsia",280836,TRUE,FALSE,FALSE,57803
"354","Caulophryne jordani","Caulophryne jordani","Caulophryne jordani","species","accepted","Teleostei","Lophiiformes","Caulophrynidae","Caulophryne",126534,TRUE,FALSE,FALSE,717990
"355","Sebastes rosaceus","Sebastes rosaceus","Sebastes rosaceus","species","accepted","Teleostei","Perciformes","Sebastidae","Sebastes",274841,TRUE,FALSE,FALSE,72096
"356","Amphistichus koelzi","Amphistichus koelzi","Amphistichus koelzi","species","accepted","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Amphistichus",279595,TRUE,FALSE,FALSE,1045555
"357","Parvilux ingens","Parvilux ingens","Parvilux ingens","species","accepted","Teleostei","Myctophiformes","Myctophidae","Parvilux",282178,TRUE,FALSE,FALSE,717805
"358","Diretmoides pauciradiatus","Diretmoides pauciradiatus","Diretmoides pauciradiatus","species","accepted","Teleostei","Trachichthyiformes","Diretmidae","Diretmoides",126397,TRUE,FALSE,FALSE,1415272
"359","Bajacalifornia megalops","Bajacalifornia megalops","Bajacalifornia megalops","species","accepted","Teleostei","Alepocephaliformes","Alepocephalidae","Bajacalifornia",126687,TRUE,FALSE,FALSE,492034
"360","Genyonemus lineatus","Genyonemus lineatus","Genyonemus lineatus","species","accepted","Teleostei","Eupercaria incertae sedis","Sciaenidae","Genyonemus",280830,TRUE,FALSE,FALSE,320395
"361","Medialuna californiensis","Medialuna californiensis","Medialuna californiensis","species","accepted","Teleostei","Centrarchiformes","Scorpididae","Medialuna",281541,TRUE,FALSE,FALSE,314243
"362","Alopias vulpinus","Alopias vulpinus","Alopias vulpinus","species","accepted","Elasmobranchii","Lamniformes","Alopiidae","Alopias",105836,TRUE,FALSE,FALSE,7852
"363","Loweina rara","Loweina rara","Loweina rara","species","accepted","Teleostei","Myctophiformes","Myctophidae","Loweina",126625,TRUE,FALSE,FALSE,1519984
"364","Lepidopus fitchi","Lepidopus fitchi","Lepidopus fitchi","species","accepted","Teleostei","Scombriformes","Trichiuridae","Lepidopus",274018,TRUE,FALSE,FALSE,515182
"365","Caulolatilus princeps","Caulolatilus princeps","Caulolatilus princeps","species","accepted","Teleostei","Eupercaria incertae sedis","Malacanthidae","Caulolatilus",276217,TRUE,FALSE,FALSE,319437
"366","Clinocottus recalvus","Clinocottus recalvus","Clinocottus recalvus","species","accepted","Teleostei","Perciformes","Cottidae","Clinocottus",280222,TRUE,FALSE,FALSE,283633
"367","Zaniolepis latipinnis","Zaniolepis latipinnis","Zaniolepis latipinnis","species","accepted","Teleostei","Perciformes","Zaniolepididae","Zaniolepis",283209,TRUE,FALSE,FALSE,283621
"368","Symphurus atricauda","Symphurus atricauda","Symphurus atricauda","species","accepted","Teleostei","Pleuronectiformes","Cynoglossidae","Symphurus",305635,TRUE,FALSE,FALSE,NA
"369","Argyropelecus affinis","Argyropelecus affinis","Argyropelecus affinis","species","accepted","Teleostei","Stomiiformes","Sternoptychidae","Argyropelecus",127307,TRUE,FALSE,FALSE,81869
"370","Atherinops affinis","Atherinops affinis","Atherinops affinis","species","accepted","Teleostei","Atheriniformes","Atherinidae","Atherinops",279812,TRUE,TRUE,FALSE,238741
"371","Icelinus fimbriatus","Icelinus fimbriatus","Icelinus fimbriatus","species","accepted","Teleostei","Perciformes","Cottidae","Icelinus",281137,TRUE,FALSE,FALSE,320611
"372","Xenomystax atrarius","Xenomystax atrarius","Xenomystax atrarius","species","accepted","Teleostei","Anguilliformes","Congridae","Xenomystax",283188,TRUE,FALSE,FALSE,2048767
"373","Hyperprosopon argenteum","Hyperprosopon argenteum","Hyperprosopon argenteum","species","accepted","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Hyperprosopon",281098,TRUE,FALSE,FALSE,100192
"374","Nautichthys robustus","Nautichthys robustus","Nautichthys robustus","species","accepted","Teleostei","Perciformes","Hemitripteridae","Nautichthys",254401,TRUE,FALSE,FALSE,557353
"375","Seriphus politus","Seriphus politus","Seriphus politus","species","accepted","Teleostei","Eupercaria incertae sedis","Sciaenidae","Seriphus",282761,TRUE,FALSE,FALSE,515231
"376","Pholis fasciata","Pholis fasciata","Pholis fasciata","species","accepted","Teleostei","Perciformes","Pholidae","Pholis",159846,TRUE,FALSE,FALSE,980340
"377","Agonomalus mozinoi","Agonomalus mozinoi","Agonomalus mozinoi","species","accepted","Teleostei","Perciformes","Agonidae","Agonomalus",279517,TRUE,FALSE,FALSE,2838345
"378","Acantholumpenus mackayi","Acantholumpenus mackayi","Acantholumpenus mackayi","species","accepted","Teleostei","Perciformes","Lumpenidae","Acantholumpenus",249703,TRUE,TRUE,FALSE,1049575
"379","Triakis semifasciata","Triakis semifasciata","Triakis semifasciata","species","accepted","Elasmobranchii","Carcharhiniformes","Triakidae","Triakis",279060,TRUE,TRUE,FALSE,30493
